Model,Current Price
HyundaiElitei20Sportz(O)1.4CRDi,Rs.7.69 Lakh
MarutiErtigaZXISMARTHYBRID,Rs.9.27 Lakh
MarutiVitaraBrezzaLDI,"Rs.7,62,742"
FordEcosport1.5TITANIUMTIVCT,Rs.7.64 Lakh
HyundaiVernaFLUIDIC1.4CRDI,"Rs.9,99,900"
HyundaiElitei20MAGNA1.4,Rs.7.68 Lakh
HyundaiVernaFLUIDIC1.6CRDISX,Rs.14.21 Lakh
SkodaLauraELEGANCE2.0TDICR,0
VolkswagenVentoHIGHLINE,12.09 Lakh
MarutiSCrossZETA,Rs.9.95 Lakh
DatsunRediGoT,Rs.3.86 Lakh
HondaAmaze1.5EMTI,Rs.7.58 Lakh
MarutiBalenoDELTA1.2K12,Rs.8.06 Lakh
MarutiDzireVXI,Rs.6.91 Lakh
MarutiWagonR,Rs.5.45 Lakh
HyundaiGrandi10SPORTZ(O)1.2AT,"Rs.591,699"
RenaultDuster85PSRXL,Rs.10.46 Lakh
RenaultDusterRXZAMT110,Rs.10.17 Lakh
HondaAmaze1.5EXMTI,Rs.7.70 Lakh
HondaCivic1.8S,Rs.15.50 Lakh
SkodaRapidELEGANCE1.6TDI,0
ToyotaCorollaH21.8,Rs.11.13 Lakh
HyundaiXcentSX1.1,Rs.7.53 Lakh
MarutiRitzVXI,"Rs.4,89,163"
HyundaiGrandi10SPORTZ1.2KAPPA,"Rs.591,699"
MarutiSwiftDzireLXI1.2BS,Rs.5.69 Lakh
FordFigo1.2ZXI,Rs.6.85 Lakh
ToyotaInnovaCrysta2.4VX7,"17,53,397"
VolkswagenVentoCOMFORTLINE,9.99 Lakh
NissanTerranoXL110,"Rs.11,64,177"
HyundaiVENUE1.0LTurboGDISX,Rs.9.79 Lakh
MarutiSwiftDzireVXIRegalLimited,
HondaMobilio1.5VI,"Rs.10,62,500"
VolkswagenJettaTRENDLINE2.0L,Rs.13.99 Lakh
Hyundaii10SPORTZ,"Rs.4,87,925"
HyundaiTucsonNew2WDATGLS,Rs.22.56 Lakh
MarutiAltoK10VXI,Rs.3.94 Lakh
VolkswagenPoloCOMFORTLINE1.2L,0
NissanTerranoXLPLUS85PS,Rs.11.59 Lakh
HyundaiElitei20ASTA1.2,Rs.9 Lakh
MarutiIGNISDELTA1.2,Rs.5.75 Lakh
SkodaSuperb1.8TSISTYLE,Rs.33.50 Lakh
BMWX1SDRIVE,Rs.41.50 Lakh
MarutiWagonR1.0,Rs.4.98 Lakh
FiatGrandPuntoACTIVE,Rs.6.50 Lakh
HondaCity1.5EMT,Rs.13 Lakh
FordEcosport,Rs.8 Lakh
MahindraScorpioSLEBS,9.93 Lakh
SkodaRapid1.5TDIAT,"Rs.7,79,000"
SkodaSuperbELEGANCETDI2.0,Rs.33.50 Lakh
MarutiCelerio,Rs.4.53 Lakh
MercedesBenzEClassE250,"Rs.86,39,399"
HyundaiGrandi10SPORTZ1.1CRDISPECIAL,Rs.5.99 Lakh
SkodaSuperbELEGANCE1.8TSI,0
HyundaiElitei20ERA,Rs.5.60 Lakh
HondaAmaze1.5VXMTI,Rs.7.58 Lakh
MarutiNewWagon-RLXI1.0,Rs.4.66 Lakh
HyundaiEonMAGNA,Rs.4.16 Lakh
MahindraKuv100K46,Rs.5.92 Lakh
HyundaiCreta1.4S,"12,24,488"
FordEcosport1.0ECOBOOST,"Rs.9,63,301"
MarutiRitz,Rs.5.45 Lakh
Hyundaii10ERA1.1,4.45 Lakh
SkodaRapid1.5ACTIVETDI,"Rs.7,79,000"
HyundaiElitei20MAGNA,Rs.6.35 Lakh
MarutiDzireVDI,"Rs.7,57,622"
ToyotaCorollaHE1.8,Rs.10.17 Lakh
SsangyongRexton,Rs.22.90 Lakh
MarutiSwiftDzireVXI1.2BS,Rs.6.57 Lakh
MarutiCelerioZXIOPT,5.46 Lakh
HyundaiCreta1.6SXPLUSAUTO,Rs.13.82 Lakh
FordEcosport1.5AMBIENTE,Rs.9.75 Lakh
MahindraMARAZZOM87,Rs.12.64 Lakh
HyundaiSantroXingGL,Rs.3.69 Lakh
ChevroletSparkLS,"Rs.3,91,860"
HyundaiElitei20ASTA,"9,07,235"
HyundaiNEWSANTROSPORTZ,Rs.5.50 Lakh
VolkswagenPoloTrendline1.0L,Rs.6.01 Lakh
MarutiDzireZXI,Rs.7.60 Lakh
MarutiSX4ZXIMTLEATHERBS,Rs.8.35 Lakh
RenaultDusterRXZDIESEL,11.02 Lakh
