Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,Car Condition
MarutiWagonR1.0LXI,312165,82238,2014,First Owner,Petrol + CNG,MANUAL,Expired,4.2
ToyotaEtiosLiva,313799,30558,2013,First Owner,Petrol,MANUAL,12-09-2021,4.4
MarutiAlto800,295999,22164,2018,First Owner,Petrol,MANUAL,01-12-2020,4.8
MarutiSwift,435199,30535,2013,First Owner,Diesel,MANUAL,Comp,4.3
MarutiWagonR1.0,289099,15738,2013,First Owner,Petrol,MANUAL,11-08-2021,4.3
HyundaiElitei20ASTA1.2,708199,32652,2018,First Owner,Petrol,MH12,Comp,4.7
HyundaiGrandi10SPORTZ1.2KAPPA,410788,32496,2013,First Owner,Petrol,MANUAL,Expired,4.4
HyundaiElitei20ASTA,606599,27487,2015,First Owner,Petrol,MANUAL,22-03-2021,4.6
MarutiCelerio,459199,41383,2018,First Owner,Petrol,MANUAL,06-03-2021,4.4
MarutiWagonR1.0,265899,65476,2012,First Owner,Petrol + CNG,MANUAL,23-10-2021,4.3
MarutiSwiftDzireVXI1.2BS,426999,27992,2013,First Owner,Petrol,MANUAL,26-05-2021,4.4
MarutiDzire,671499,14061,2018,First Owner,Petrol,MANUAL,11-07-2021,4.8
HondaCivic1.8S,146870,52138,2007,Third Owner,Petrol,MANUAL,Expired,4
MarutiAltoK10VXI,290099,46410,2014,Second Owner,Petrol,TS07,,3.9
MarutiAlto800LXI,285399,47168,2016,First Owner,Petrol + CNG,MANUAL,17-03-2021,4.2
HyundaiVernaFLUIDIC1.6EX,529699,72813,2013,First Owner,Petrol + CNG,MANUAL,09-01-2022,4.2
ToyotaEtiosCROSS1.4,424399,79123,2015,First Owner,Diesel,MANUAL,07-07-2021,4.3
HondaCitySVCVT,615799,72097,2016,First Owner,Petrol,AUTOMATIC,02-02-2021,4.4
VolkswagenVentoHIGHLINE,413999,151201,2014,First Owner,Diesel,MANUAL,10-08-2021,4.3
Hyundaii20MAGNAO,328199,73356,2012,First Owner,Petrol,MANUAL,29-07-2021,4.3
VolkswagenPoloGT,948899,14516,2018,First Owner,Petrol,MANUAL,07-10-2021,4.9
MahindraTUV300,656399,34658,2016,First Owner,Diesel,MANUAL,02-07-2021,4.5
HondaAmaze1.5VCVT,698899,53486,2018,First Owner,Diesel,UP14,Third_party,4.5
TataNanoXT,100599,35905,2014,First Owner,Petrol,MANUAL,24-11-2021,4.3
RenaultKwid,250399,39278,2016,Second Owner,Petrol,MANUAL,21-11-2021,4.2
MarutiAltoK10,309999,36245,2017,First Owner,Petrol,MANUAL,23-09-2021,4.7
