date,store_nbr,customers
23-05-2015,6,2053
17-02-2014,2,1766
26-03-2015,15,1336
14-09-2015,35,637
14-07-2013,44,4383
05-02-2017,4,1726
13-12-2015,39,1651
01-07-2015,8,2913
15-09-2014,40,1463
28-11-2016,19,1189
31-12-2016,24,2709
30-07-2015,29,901
03-03-2015,24,2418
26-05-2015,54,753
27-01-2017,8,2787
09-01-2017,16,737
05-02-2014,7,1887
05-01-2014,31,1642
11-05-2016,53,1509
25-06-2014,14,1354
05-10-2013,14,2104
02-06-2017,41,1074
25-06-2013,48,2128
19-02-2015,2,1674
20-10-2015,25,608
26-05-2017,22,758
04-09-2016,39,1596
15-01-2016,26,589
27-05-2017,35,893
26-09-2013,2,1768
10-03-2015,53,759
20-07-2014,17,1285
08-06-2016,21,771
11-03-2013,28,866
21-03-2017,40,1525
20-05-2016,14,1190
09-10-2015,24,1671
02-12-2015,44,4938
05-12-2016,34,2241
25-05-2014,34,2369
29-01-2014,26,517
07-10-2016,53,1067
29-04-2016,19,1028
22-05-2016,24,1845
12-11-2013,12,1264
24-10-2016,48,2205
03-09-2016,7,1827
30-08-2016,24,1986
30-03-2016,29,966
30-11-2015,33,944
17-08-2016,24,2394
21-11-2014,10,872
27-07-2017,43,1288
21-07-2015,32,597
28-02-2016,32,769
13-03-2014,8,2627
12-01-2015,53,718
03-04-2014,13,905
01-02-2014,31,1707
26-11-2016,9,2077
17-06-2016,3,3389
05-03-2014,5,1771
14-01-2013,25,664
27-10-2013,48,4083
03-01-2017,49,3286
26-03-2013,38,1296
03-05-2013,31,1169
28-05-2014,5,1425
22-09-2016,34,1838
04-10-2013,33,939
22-07-2016,27,1375
23-01-2017,44,3982
23-04-2013,28,949
17-07-2017,47,3720
05-03-2015,39,1303
21-04-2017,52,3151
01-10-2014,27,1445
29-02-2016,53,754
10-09-2014,13,863
25-09-2015,49,2886
07-06-2013,12,1147
29-07-2013,47,3212
24-04-2015,28,926
14-02-2015,46,4615
30-11-2016,30,696
06-05-2017,24,2349
14-02-2014,43,1893
13-07-2015,27,1386
26-02-2016,19,994
27-03-2014,24,2309
28-02-2017,48,3615
16-03-2017,40,1358
26-04-2016,53,1318
05-09-2015,46,4808
17-07-2016,54,1077
03-02-2013,35,856
11-05-2017,24,2186
21-08-2013,24,2587
08-02-2013,44,4006
31-08-2013,51,2189
24-02-2017,31,1290
06-12-2013,37,1657
05-03-2015,35,700
11-02-2017,37,1556
08-05-2015,25,830
27-11-2016,41,1433
02-03-2013,24,2538
18-06-2017,46,4391
17-08-2015,9,2224
12-01-2016,44,3743
20-07-2015,19,1327
17-10-2014,4,1409
18-06-2015,35,668
08-11-2014,7,1830
07-11-2014,13,932
14-02-2016,12,1326
28-08-2015,12,1065
15-02-2015,2,1532
10-11-2013,10,1151
07-09-2015,43,1406
12-07-2017,54,692
26-02-2014,7,1784
13-07-2016,6,1597
06-07-2014,37,1326
18-08-2016,21,843
15-09-2013,48,4097
29-03-2014,26,783
28-12-2014,53,960
07-01-2017,14,1602
28-11-2013,43,1124
14-01-2015,45,3384
24-01-2017,41,1304
03-02-2015,15,1501
24-10-2016,22,690
18-10-2013,12,1146
04-06-2015,41,987
19-09-2013,50,1964
21-07-2015,25,715
03-09-2013,33,1230
04-12-2014,32,543
20-03-2013,33,1036
21-09-2014,54,1121
09-10-2013,30,581
16-04-2015,1,1785
07-01-2013,39,1356
20-11-2016,54,1080
04-10-2014,43,1473
19-07-2015,5,1436
05-01-2016,28,1365
18-04-2017,54,772
21-05-2016,19,1699
29-09-2016,33,789
24-07-2017,8,2606
08-08-2016,50,2405
08-12-2016,12,1132
12-03-2015,23,981
08-01-2017,44,5305
01-05-2013,25,867
06-12-2016,17,1675
29-08-2014,47,3751
14-05-2014,51,1875
27-07-2017,45,3257
16-05-2013,15,1402
31-10-2015,51,1890
