Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,Portugal,,0,0.0,0
2020-01-23,Portugal,,0,0.0,0
2020-01-24,Portugal,,0,0.0,0
2020-01-25,Portugal,,0,0.0,0
2020-01-26,Portugal,,0,0.0,0
2020-01-27,Portugal,,0,0.0,0
2020-01-28,Portugal,,0,0.0,0
2020-01-29,Portugal,,0,0.0,0
2020-01-30,Portugal,,0,0.0,0
2020-01-31,Portugal,,0,0.0,0
2020-02-01,Portugal,,0,0.0,0
2020-02-02,Portugal,,0,0.0,0
2020-02-03,Portugal,,0,0.0,0
2020-02-04,Portugal,,0,0.0,0
2020-02-05,Portugal,,0,0.0,0
2020-02-06,Portugal,,0,0.0,0
2020-02-07,Portugal,,0,0.0,0
2020-02-08,Portugal,,0,0.0,0
2020-02-09,Portugal,,0,0.0,0
2020-02-10,Portugal,,0,0.0,0
2020-02-11,Portugal,,0,0.0,0
2020-02-13,Portugal,,0,0.0,0
2020-02-14,Portugal,,0,0.0,0
2020-02-15,Portugal,,0,0.0,0
2020-02-16,Portugal,,0,0.0,0
2020-02-17,Portugal,,0,0.0,0
2020-02-18,Portugal,,0,0.0,0
2020-02-19,Portugal,,0,0.0,0
2020-02-20,Portugal,,0,0.0,0
2020-02-21,Portugal,,0,0.0,0
2020-02-22,Portugal,,0,0.0,0
2020-02-23,Portugal,,0,0.0,0
2020-02-24,Portugal,,0,0.0,0
2020-02-25,Portugal,,0,0.0,0
2020-02-26,Portugal,,0,0.0,0
2020-02-27,Portugal,,0,0.0,0
2020-02-28,Portugal,,0,0.0,0
2020-02-29,Portugal,,0,0.0,0
2020-03-01,Portugal,,0,0.0,0
2020-03-02,Portugal,,2,0.0,0
2020-03-03,Portugal,,2,0.0,0
2020-03-04,Portugal,,5,0.0,0
2020-03-05,Portugal,,8,0.0,0
2020-03-06,Portugal,,13,0.0,0
2020-03-07,Portugal,,20,0.0,0
2020-03-08,Portugal,,30,0.0,0
2020-03-09,Portugal,,30,0.0,0
2020-03-10,Portugal,,41,0.0,0
2020-03-12,Portugal,,59,0.0,0
2020-03-13,Portugal,,112,1.0,0
2020-03-14,Portugal,,169,2.0,0
2020-03-16,Portugal,,331,3.0,0
2020-03-17,Portugal,,448,3.0,1
2020-03-18,Portugal,,448,3.0,2
2020-03-19,Portugal,,785,3.0,3
2020-03-20,Portugal,,1020,5.0,6
2020-03-21,Portugal,,1280,5.0,12
2020-03-22,Portugal,,1600,5.0,14
2020-03-23,Portugal,,2060,5.0,23
2020-03-24,Portugal,,2362,22.0,33
2020-03-25,Portugal,,2995,22.0,43
2020-03-26,Portugal,,3544,43.0,60
2020-03-27,Portugal,,4268,43.0,76
2020-03-28,Portugal,,5170,43.0,100
2020-03-29,Portugal,,5962,43.0,119
2020-03-30,Portugal,,6408,43.0,140
2020-03-31,Portugal,,7443,43.0,160
2020-04-01,Portugal,,8251,43.0,187
2020-04-02,Portugal,,9034,68.0,209
2020-04-03,Portugal,,9886,68.0,246
2020-04-04,Portugal,,10524,75.0,266
2020-04-05,Portugal,,11278,75.0,295
2020-04-06,Portugal,,11730,140.0,311
2020-04-07,Portugal,,12442,184.0,345
2020-04-08,Portugal,,13141,196.0,380
2020-04-09,Portugal,,13956,205.0,409
2020-04-10,Portugal,,15472,233.0,435
2020-04-11,Portugal,,15987,266.0,470
2020-04-12,Portugal,,16585,277.0,504
2020-04-13,Portugal,,16934,277.0,535
2020-04-14,Portugal,,17448,347.0,567
2020-04-15,Portugal,,18091,383.0,599
2020-04-16,Portugal,,18841,493.0,629
2020-04-17,Portugal,,19022,519.0,657
2020-04-18,Portugal,,19685,610.0,687
2020-04-19,Portugal,,20206,610.0,714
2020-04-20,Portugal,,20863,610.0,735
2020-04-21,Portugal,,21379,917.0,762
2020-04-22,Portugal,,21982,1143.0,785
2020-04-23,Portugal,,22353,1201.0,820
2020-04-24,Portugal,,22797,1228.0,854
2020-04-25,Portugal,,23392,1277.0,880
2020-04-26,Portugal,,23864,1329.0,903
2020-04-27,Portugal,,24027,1357.0,928
2020-04-28,Portugal,,24322,1389.0,948
2020-04-29,Portugal,,24505,1470.0,973
2020-04-30,Portugal,,25045,1519.0,989
2020-05-01,Portugal,,25351,1647.0,1007
2020-05-03,Portugal,,25282,1689.0,1043
2020-05-04,Portugal,,25524,1712.0,1063
2020-05-05,Portugal,,25702,1743.0,1074
2020-05-06,Portugal,,26182,2076.0,1089
2020-05-07,Portugal,,26715,2258.0,1105
2020-05-08,Portugal,,27268,2422.0,1114
2020-05-09,Portugal,,27406,2499.0,1126
2020-05-10,Portugal,,27581,2549.0,1135
2020-05-11,Portugal,,27679,2549.0,1144
2020-05-12,Portugal,,27913,3013.0,1163
2020-05-13,Portugal,,28132,3182.0,1175
2020-05-14,Portugal,,28319,3198.0,1184
2020-05-15,Portugal,,28583,3328.0,1190
2020-05-16,Portugal,,28810,3822.0,1203
2020-05-17,Portugal,,29036,4636.0,1218
2020-05-18,Portugal,,29209,6430.0,1231
2020-05-19,Portugal,,29432,6431.0,1247
2020-05-20,Portugal,,29660,6452.0,1263
2020-05-21,Portugal,,29912,6452.0,1277
